banco_codigo;tabela_codigo;tipo_formalizacao;prazo;datas;Data Inicio;Data Fim;Data Ajustar
623;703220;DIGITAL;36 a 36;2021-06-25 a 9999-12-31;25/06/2021;31/12/9999;11/07/2021
623;500484;PADRAO;96 a 96;2021-07-12 a 9999-12-31;12/07/2021;31/12/9999;02/08/2021
623;500895;PADRAO;96 a 96;2021-07-12 a 9999-12-31;12/07/2021;31/12/9999;02/08/2021
623;500898;PADRAO;96 a 96;2021-07-12 a 9999-12-31;12/07/2021;31/12/9999;02/08/2021
623;501432;PADRAO;48 a 48;2021-07-12 a 9999-12-31;12/07/2021;31/12/9999;02/08/2021
623;501432;PADRAO;60 a 60;2021-07-12 a 9999-12-31;12/07/2021;31/12/9999;02/08/2021
623;501432;PADRAO;72 a 72;2021-07-12 a 9999-12-31;12/07/2021;31/12/9999;02/08/2021
623;501432;PADRAO;84 a 84;2021-07-12 a 9999-12-31;12/07/2021;31/12/9999;02/08/2021
623;501432;PADRAO;96 a 96;2021-07-12 a 9999-12-31;12/07/2021;31/12/9999;02/08/2021
623;501433;PADRAO;72 a 72;2021-07-12 a 9999-12-31;12/07/2021;31/12/9999;02/08/2021
623;501433;PADRAO;84 a 84;2021-07-12 a 9999-12-31;12/07/2021;31/12/9999;02/08/2021
623;501433;PADRAO;96 a 96;2021-07-12 a 9999-12-31;12/07/2021;31/12/9999;02/08/2021
623;501434;PADRAO;72 a 72;2021-07-12 a 9999-12-31;12/07/2021;31/12/9999;02/08/2021
623;501434;PADRAO;84 a 84;2021-07-12 a 9999-12-31;12/07/2021;31/12/9999;02/08/2021
623;501434;PADRAO;96 a 96;2021-07-12 a 9999-12-31;12/07/2021;31/12/9999;02/08/2021
623;501435;PADRAO;96 a 96;2021-07-12 a 9999-12-31;12/07/2021;31/12/9999;02/08/2021
623;501436;PADRAO;96 a 96;2021-07-12 a 9999-12-31;12/07/2021;31/12/9999;02/08/2021
623;501437;PADRAO;96 a 96;2021-07-12 a 9999-12-31;12/07/2021;31/12/9999;02/08/2021
623;501438;PADRAO;96 a 96;2021-07-12 a 9999-12-31;12/07/2021;31/12/9999;02/08/2021
623;501439;PADRAO;96 a 96;2021-07-12 a 9999-12-31;12/07/2021;31/12/9999;02/08/2021
623;501440;PADRAO;96 a 96;2021-07-12 a 9999-12-31;12/07/2021;31/12/9999;02/08/2021
623;501697;PADRAO;96 a 96;2021-07-12 a 9999-12-31;12/07/2021;31/12/9999;02/08/2021
